Energy (keV),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,2.26,2.17,2.08,2.00,1.91,1.83,1.75,1.67,1.59,1.52,1.45,1.37,1.31,1.24,1.17,1.11,1.05,0.98,0.93,0.87
2,2.20,2.11,2.03,1.94,1.86,1.78,1.71,1.63,1.56,1.48,1.41,1.35,1.28,1.21,1.15,1.09,1.03,0.97,0.91,0.85
3,2.11,2.03,1.95,1.87,1.80,1.72,1.65,1.58,1.51,1.44,1.37,1.30,1.24,1.18,1.12,1.06,1.00,0.94,0.89,0.83
4,2.15,2.06,1.98,1.90,1.82,1.75,1.67,1.60,1.53,1.46,1.39,1.32,1.26,1.19,1.13,1.07,1.01,0.95,0.90,0.84
5,2.17,2.08,2.00,1.92,1.84,1.76,1.69,1.61,1.54,1.47,1.40,1.33,1.27,1.20,1.14,1.08,1.02,0.96,0.90,0.85
6,2.18,2.10,2.02,1.93,1.85,1.77,1.70,1.62,1.55,1.48,1.41,1.34,1.27,1.21,1.14,1.08,1.02,0.96,0.91,0.85
7,2.19,2.11,2.02,1.94,1.86,1.78,1.71,1.63,1.56,1.48,1.41,1.34,1.28,1.21,1.15,1.09,1.02,0.97,0.91,0.85
8,2.20,2.12,2.03,1.95,1.87,1.79,1.71,1.64,1.56,1.49,1.42,1.35,1.28,1.21,1.15,1.09,1.03,0.97,0.91,0.86
9,2.21,2.12,2.04,1.96,1.87,1.79,1.72,1.64,1.56,1.49,1.42,1.35,1.28,1.22,1.15,1.09,1.03,0.97,0.91,0.86
10,2.21,2.13,2.04,1.96,1.88,1.80,1.72,1.64,1.57,1.49,1.42,1.35,1.29,1.22,1.15,1.09,1.03,0.97,0.91,0.86
11,2.21,2.12,2.04,1.96,1.87,1.79,1.72,1.64,1.57,1.49,1.42,1.35,1.28,1.22,1.15,1.09,1.03,0.97,0.91,0.86
12,2.05,1.97,1.90,1.82,1.75,1.68,1.61,1.54,1.47,1.40,1.34,1.28,1.21,1.15,1.09,1.04,0.98,0.92,0.87,0.82
13,1.95,1.88,1.81,1.74,1.67,1.61,1.54,1.48,1.41,1.35,1.29,1.23,1.17,1.11,1.06,1.00,0.95,0.90,0.85,0.80
14,1.95,1.88,1.81,1.74,1.67,1.61,1.54,1.48,1.41,1.35,1.29,1.23,1.17,1.11,1.06,1.00,0.95,0.90,0.85,0.80
15,1.97,1.90,1.83,1.76,1.69,1.62,1.55,1.49,1.42,1.36,1.30,1.24,1.18,1.12,1.07,1.01,0.96,0.90,0.85,0.80
16,1.99,1.91,1.84,1.77,1.70,1.63,1.56,1.50,1.43,1.37,1.31,1.25,1.19,1.13,1.07,1.02,0.96,0.91,0.86,0.81
17,2.00,1.92,1.85,1.78,1.71,1.64,1.57,1.51,1.44,1.38,1.31,1.25,1.19,1.13,1.08,1.02,0.96,0.91,0.86,0.81
18,2.01,1.93,1.86,1.79,1.72,1.65,1.58,1.51,1.45,1.38,1.32,1.26,1.20,1.14,1.08,1.02,0.97,0.91,0.86,0.81
19,2.02,1.94,1.87,1.80,1.73,1.66,1.59,1.52,1.45,1.39,1.32,1.26,1.20,1.14,1.08,1.03,0.97,0.92,0.87,0.81
20,2.03,1.95,1.88,1.80,1.73,1.66,1.59,1.53,1.46,1.39,1.33,1.27,1.21,1.15,1.09,1.03,0.97,0.92,0.87,0.82
21,2.03,1.96,1.88,1.81,1.74,1.67,1.60,1.53,1.46,1.40,1.33,1.27,1.21,1.15,1.09,1.03,0.98,0.92,0.87,0.82
22,2.04,1.96,1.89,1.81,1.74,1.67,1.60,1.53,1.47,1.40,1.34,1.27,1.21,1.15,1.09,1.04,0.98,0.92,0.87,0.82
23,2.04,1.97,1.89,1.82,1.75,1.68,1.61,1.54,1.47,1.41,1.34,1.28,1.22,1.15,1.10,1.04,0.98,0.93,0.87,0.82
24,2.05,1.97,1.90,1.82,1.75,1.68,1.61,1.54,1.47,1.41,1.34,1.28,1.22,1.16,1.10,1.04,0.98,0.93,0.88,0.82
25,2.05,1.98,1.90,1.83,1.76,1.68,1.61,1.55,1.48,1.41,1.35,1.28,1.22,1.16,1.10,1.04,0.99,0.93,0.88,0.82
26,2.06,1.98,1.91,1.83,1.76,1.69,1.62,1.55,1.48,1.41,1.35,1.29,1.22,1.16,1.10,1.04,0.99,0.93,0.88,0.83
27,2.06,1.98,1.91,1.83,1.76,1.69,1.62,1.55,1.48,1.42,1.35,1.29,1.23,1.16,1.10,1.05,0.99,0.93,0.88,0.83
28,2.06,1.99,1.91,1.84,1.76,1.69,1.62,1.55,1.49,1.42,1.35,1.29,1.23,1.17,1.11,1.05,0.99,0.94,0.88,0.83
29,2.06,1.99,1.91,1.84,1.77,1.70,1.62,1.56,1.49,1.42,1.36,1.29,1.23,1.17,1.11,1.05,0.99,0.94,0.88,0.83
30,2.07,1.99,1.92,1.84,1.77,1.70,1.63,1.56,1.49,1.42,1.36,1.29,1.23,1.17,1.11,1.05,0.99,0.94,0.88,0.83
31,2.06,1.99,1.91,1.84,1.77,1.70,1.63,1.56,1.49,1.42,1.36,1.29,1.23,1.17,1.11,1.05,0.99,0.94,0.88,0.83
32,2.07,1.99,1.92,1.84,1.77,1.70,1.63,1.56,1.49,1.42,1.36,1.30,1.23,1.17,1.11,1.05,1.00,0.94,0.88,0.83
33,2.07,1.99,1.92,1.84,1.77,1.70,1.63,1.56,1.49,1.43,1.36,1.30,1.23,1.17,1.11,1.05,1.00,0.94,0.89,0.83
34,2.07,1.99,1.92,1.84,1.77,1.70,1.63,1.56,1.49,1.43,1.36,1.30,1.23,1.17,1.11,1.05,1.00,0.94,0.89,0.83
35,2.06,1.99,1.92,1.84,1.77,1.70,1.63,1.56,1.49,1.43,1.36,1.30,1.24,1.17,1.11,1.06,1.00,0.94,0.89,0.83
36,2.06,1.99,1.92,1.84,1.77,1.70,1.63,1.56,1.50,1.43,1.36,1.30,1.24,1.17,1.11,1.06,1.00,0.94,0.89,0.84
37,2.06,1.99,1.92,1.84,1.77,1.70,1.63,1.56,1.50,1.43,1.36,1.30,1.24,1.18,1.12,1.06,1.00,0.94,0.89,0.84
38,2.06,1.99,1.91,1.84,1.77,1.70,1.63,1.56,1.50,1.43,1.36,1.30,1.24,1.18,1.12,1.06,1.00,0.94,0.89,0.84
39,2.05,1.98,1.91,1.84,1.77,1.70,1.63,1.56,1.50,1.43,1.37,1.30,1.24,1.18,1.12,1.06,1.00,0.94,0.89,0.84
40,2.05,1.98,1.91,1.84,1.77,1.70,1.63,1.56,1.50,1.43,1.37,1.30,1.24,1.18,1.12,1.06,1.00,0.95,0.89,0.84
41,2.04,1.97,1.90,1.84,1.77,1.70,1.63,1.56,1.50,1.43,1.37,1.30,1.24,1.18,1.12,1.06,1.00,0.95,0.89,0.84
42,2.02,1.96,1.90,1.83,1.76,1.70,1.63,1.56,1.50,1.43,1.37,1.30,1.24,1.18,1.12,1.06,1.00,0.95,0.89,0.84
43,2.01,1.95,1.89,1.82,1.76,1.69,1.63,1.56,1.50,1.43,1.37,1.30,1.24,1.18,1.12,1.06,1.00,0.95,0.89,0.84
44,2.00,1.94,1.88,1.82,1.76,1.69,1.63,1.56,1.50,1.43,1.37,1.30,1.24,1.18,1.12,1.06,1.00,0.95,0.89,0.84
45,1.97,1.92,1.87,1.81,1.75,1.69,1.62,1.56,1.49,1.43,1.37,1.30,1.24,1.18,1.12,1.06,1.00,0.95,0.89,0.84
46,1.94,1.90,1.85,1.80,1.74,1.68,1.62,1.55,1.49,1.43,1.36,1.30,1.24,1.18,1.12,1.06,1.00,0.95,0.89,0.84
47,1.90,1.88,1.83,1.79,1.73,1.67,1.61,1.55,1.49,1.43,1.36,1.30,1.24,1.18,1.12,1.06,1.00,0.95,0.89,0.84
48,1.85,1.84,1.81,1.77,1.72,1.66,1.61,1.55,1.49,1.42,1.36,1.30,1.24,1.18,1.12,1.06,1.00,0.95,0.89,0.84
49,1.77,1.78,1.77,1.74,1.70,1.65,1.60,1.54,1.48,1.42,1.36,1.30,1.24,1.18,1.12,1.06,1.00,0.95,0.89,0.84
50,1.64,1.70,1.71,1.70,1.67,1.63,1.58,1.53,1.47,1.41,1.36,1.30,1.24,1.18,1.12,1.06,1.00,0.95,0.89,0.84
51,1.48,1.60,1.65,1.66,1.65,1.61,1.57,1.52,1.47,1.41,1.35,1.29,1.24,1.18,1.12,1.06,1.00,0.95,0.89,0.84
52,1.22,1.44,1.55,1.60,1.61,1.59,1.55,1.51,1.46,1.41,1.35,1.29,1.23,1.18,1.12,1.06,1.00,0.95,0.89,0.84
53,0.88,1.20,1.41,1.51,1.55,1.55,1.53,1.49,1.45,1.40,1.34,1.29,1.23,1.17,1.12,1.06,1.00,0.95,0.89,0.84
54,0.51,0.86,1.17,1.37,1.46,1.50,1.50,1.47,1.43,1.39,1.34,1.28,1.23,1.17,1.11,1.06,1.00,0.95,0.89,0.84
55,0.26,0.58,0.92,1.21,1.37,1.44,1.46,1.45,1.42,1.38,1.33,1.28,1.23,1.17,1.11,1.06,1.00,0.95,0.89,0.84
56,0.06,0.25,0.57,0.90,1.18,1.33,1.39,1.41,1.39,1.36,1.32,1.27,1.22,1.17,1.11,1.06,1.00,0.95,0.89,0.84
57,0.01,0.09,0.31,0.64,0.96,1.21,1.32,1.37,1.37,1.35,1.31,1.27,1.22,1.16,1.11,1.06,1.00,0.95,0.89,0.84
58,0.00,0.01,0.11,0.36,0.70,1.01,1.22,1.30,1.33,1.32,1.30,1.26,1.21,1.16,1.11,1.05,1.00,0.95,0.89,0.84
59,0.00,0.00,0.01,0.11,0.36,0.69,0.98,1.18,1.26,1.28,1.27,1.24,1.20,1.15,1.10,1.05,1.00,0.94,0.89,0.84
60,0.01,0.00,0.00,0.02,0.15,0.43,0.75,1.03,1.18,1.23,1.24,1.22,1.19,1.15,1.10,1.05,1.00,0.94,0.89,0.84
61,0.02,0.01,0.00,0.00,0.04,0.20,0.50,0.81,1.06,1.17,1.20,1.20,1.17,1.14,1.09,1.04,0.99,0.94,0.89,0.84
62,0.03,0.02,0.01,0.00,0.01,0.09,0.33,0.65,0.94,1.11,1.17,1.18,1.16,1.13,1.09,1.04,0.99,0.94,0.89,0.84
63,0.03,0.03,0.01,0.00,0.00,0.02,0.13,0.40,0.71,0.97,1.10,1.14,1.14,1.12,1.08,1.04,0.99,0.94,0.89,0.84
64,0.03,0.03,0.02,0.01,0.00,0.00,0.03,0.18,0.47,0.77,1.00,1.08,1.11,1.10,1.07,1.03,0.98,0.94,0.89,0.84
65,0.02,0.03,0.03,0.02,0.01,0.00,0.00,0.05,0.24,0.54,0.81,1.00,1.06,1.07,1.05,1.02,0.98,0.93,0.88,0.84
66,0.02,0.03,0.03,0.03,0.01,0.00,0.00,0.01,0.11,0.37,0.67,0.91,1.02,1.05,1.04,1.01,0.97,0.93,0.88,0.83
67,0.01,0.02,0.03,0.03,0.02,0.01,0.00,0.00,0.03,0.18,0.46,0.74,0.93,1.00,1.01,1.00,0.97,0.93,0.88,0.83
68,0.01,0.01,0.02,0.03,0.03,0.02,0.01,0.00,0.00,0.06,0.27,0.56,0.82,0.95,0.99,0.98,0.96,0.92,0.88,0.83
69,0.00,0.01,0.02,0.02,0.03,0.02,0.01,0.00,0.00,0.02,0.14,0.41,0.69,0.89,0.96,0.97,0.95,0.92,0.87,0.83
70,0.00,0.01,0.01,0.02,0.02,0.03,0.02,0.01,0.00,0.00,0.05,0.25,0.54,0.79,0.91,0.94,0.94,0.91,0.87,0.83
71,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.00,0.01,0.08,0.30,0.58,0.80,0.89,0.91,0.89,0.86,0.82
72,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.01,0.00,0.00,0.02,0.17,0.44,0.69,0.84,0.88,0.88,0.85,0.82
73,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.02,0.02,0.01,0.00,0.00,0.07,0.29,0.56,0.77,0.85,0.86,0.84,0.81
74,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.01,0.00,0.00,0.02,0.15,0.42,0.67,0.80,0.84,0.83,0.81
75,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.01,0.00,0.00,0.05,0.23,0.49,0.70,0.79,0.81,0.79
76,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.01,0.01,0.00,0.01,0.08,0.29,0.51,0.67,0.73,0.73
77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.03,0.13,0.28,0.42,0.51,0.55
78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.02,0.09,0.23,0.38,0.49,0.54
79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.06,0.18,0.34,0.46,0.52
80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.02,0.11,0.26,0.40,0.49
81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.09,0.23,0.38,0.48
82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.04,0.15,0.31,0.43
83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.02,0.12,0.28,0.42
84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.06,0.20,0.35
85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.02,0.12,0.27
86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.02,0.10,0.25
87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.04,0.17
88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.03,0.14
89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.07
90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.01,0.06
91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.02
92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.01
93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00
94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00
95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00
96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00
97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00
98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00
99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01
100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01