shell#,Large rad,Int rad ,Small rad,graze ang,grazeang,geoarea-10%vign,geoarea-novign,Mass,added radius,thickness
,cm,cm,cm,deg,mrad,cm^2,cm^2,kg,cm,cm
50,16.5747,16.4923,16.2449,0.1575,2.7486,7.7094,8.5660,1.8727,0.0820,0.0338
49,16.3766,16.2951,16.0507,0.1556,2.7157,7.5262,8.3624,1.8392,0.0811,0.0336
48,16.1806,16.1001,15.8586,0.1537,2.6832,7.3471,8.1635,1.8063,0.0801,0.0334
47,15.9868,15.9072,15.6686,0.1519,2.6511,7.1722,7.9691,1.7739,0.0791,0.0332
46,15.7951,15.7165,15.4807,0.1501,2.6193,7.0012,7.7791,1.7421,0.0782,0.0330
45,15.6055,15.5278,15.2949,0.1483,2.5879,6.8341,7.5935,1.7108,0.0773,0.0328
44,15.4179,15.3412,15.1111,0.1465,2.5568,6.6709,7.4121,1.6801,0.0763,0.0326
43,15.2325,15.1567,14.9293,0.1447,2.5260,6.5113,7.2348,1.6499,0.0754,0.0324
42,15.0490,14.9742,14.7495,0.1430,2.4956,6.3555,7.0616,1.6201,0.0745,0.0322
41,14.8676,14.7936,14.5717,0.1413,2.4655,6.2032,6.8924,1.5909,0.0736,0.0321
40,14.6882,14.6151,14.3959,0.1396,2.4358,6.0544,6.7271,1.5622,0.0727,0.0319
39,14.5107,14.4385,14.2220,0.1379,2.4064,5.9090,6.5655,1.5340,0.0718,0.0317
38,14.3352,14.2639,14.0500,0.1362,2.3772,5.7669,6.4077,1.5063,0.0710,0.0315
37,14.1617,14.0912,13.8799,0.1346,2.3485,5.6281,6.2535,1.4790,0.0701,0.0313
36,13.9900,13.9204,13.7116,0.1329,2.3200,5.4925,6.1028,1.4522,0.0693,0.0311
35,13.8203,13.7515,13.5452,0.1313,2.2919,5.3600,5.9556,1.4258,0.0684,0.0309
34,13.6524,13.5845,13.3807,0.1297,2.2640,5.2306,5.8118,1.3999,0.0676,0.0307
33,13.4864,13.4193,13.2180,0.1281,2.2365,5.1041,5.6713,1.3745,0.0668,0.0305
32,13.3222,13.2559,13.0570,0.1266,2.2093,4.9806,5.5340,1.3494,0.0659,0.0303
31,13.1598,13.0943,12.8979,0.1250,2.1823,4.8599,5.3999,1.3248,0.0651,0.0302
30,12.9992,12.9345,12.7405,0.1235,2.1557,4.7421,5.2690,1.3007,0.0643,0.0300
29,12.8404,12.7765,12.5849,0.1220,2.1294,4.6269,5.1410,1.2769,0.0636,0.0298
28,12.6833,12.6202,12.4309,0.1205,2.1033,4.5144,5.0160,1.2535,0.0628,0.0296
27,12.5280,12.4657,12.2787,0.1190,2.0776,4.4045,4.8939,1.2306,0.0620,0.0294
26,12.3744,12.3129,12.1282,0.1176,2.0521,4.2972,4.7747,1.2080,0.0613,0.0292
25,12.2226,12.1618,11.9793,0.1161,2.0269,4.1924,4.6582,1.1859,0.0605,0.0291
24,12.0724,12.0123,11.8321,0.1147,2.0020,4.0900,4.5444,1.1641,0.0598,0.0289
23,11.9238,11.8645,11.6866,0.1133,1.9774,3.9900,4.4333,1.1427,0.0590,0.0287
22,11.7770,11.7184,11.5426,0.1119,1.9530,3.8923,4.3248,1.1216,0.0583,0.0285
21,11.6317,11.5739,11.4003,0.1105,1.9289,3.7969,4.2187,1.1009,0.0576,0.0284
20,11.4881,11.4310,11.2595,0.1092,1.9051,3.7037,4.1152,1.0806,0.0569,0.0282
19,11.3461,11.2896,11.1203,0.1078,1.8816,3.6127,4.0141,1.0606,0.0562,0.0280
18,11.2056,11.1499,10.9826,0.1065,1.8583,3.5238,3.9153,1.0410,0.0555,0.0278
17,11.0668,11.0117,10.8465,0.1052,1.8353,3.4370,3.8189,1.0217,0.0548,0.0277
16,10.9294,10.8751,10.7119,0.1038,1.8125,3.3522,3.7247,1.0027,0.0541,0.0275
15,10.7937,10.7400,10.5789,0.1026,1.7900,3.2695,3.6327,0.9841,0.0534,0.0273
14,10.6594,10.6064,10.4473,0.1013,1.7677,3.1886,3.5429,0.9658,0.0528,0.0271
13,10.5266,10.4743,10.3171,0.1000,1.7457,3.1097,3.4552,0.9478,0.0521,0.0270
12,10.3953,10.3436,10.1885,0.0988,1.7239,3.0326,3.3696,0.9301,0.0515,0.0268
11,10.2655,10.2145,10.0612,0.0975,1.7024,2.9573,3.2859,0.9128,0.0508,0.0266
10,10.1372,10.0867,9.9354,0.0963,1.6811,2.8838,3.2043,0.8957,0.0502,0.0265
9,10.0103,9.9605,9.8111,0.0951,1.6601,2.8121,3.1245,0.8789,0.0496,0.0263
8,9.8848,9.8356,9.6881,0.0939,1.6392,2.7420,3.0467,0.8625,0.0489,0.0261
7,9.7607,9.7121,9.5664,0.0927,1.6187,2.6736,2.9707,0.8463,0.0483,0.0260
6,9.6380,9.5901,9.4462,0.0916,1.5983,2.6068,2.8965,0.8304,0.0477,0.0258
5,9.5167,9.4694,9.3273,0.0904,1.5782,2.5416,2.8240,0.8147,0.0471,0.0256
4,9.3968,9.3500,9.2098,0.0893,1.5583,2.4780,2.7533,0.7994,0.0465,0.0255
3,9.2782,9.2320,9.0935,0.0882,1.5386,2.4158,2.6842,0.7843,0.0459,0.0253
2,9.1609,9.1153,8.9786,0.0870,1.5192,2.3551,2.6168,0.7695,0.0453,0.0252
1,9.0450,9.0000,8.8650,0.0859,1.5000,2.2959,2.5510,0.7549,0.0000,0.0250